chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,MatterSim_form_energy,MatterSim_e_above_hull,MatterSim_on_hull,change
Fe-Zn,mp-13,Fe,0.0,0.0,True,0.0,0.0,True,
Fe-Zn,mp-136,Fe,0.097806,0.097806,False,0.139941,0.139941,False,
Fe-Zn,mp-150,Fe,0.148365,0.148365,False,0.135906,0.135906,False,
Fe-Zn,mp-1722,Zn13Fe,-0.030846,0.0,True,-0.028253,0.0,True,
Fe-Zn,mp-2646972,Zn,0.005205,0.005205,False,0.004172,0.004172,False,
Fe-Zn,mp-2647117,Zn,0.071662,0.071662,False,0.046178,0.046178,False,
Fe-Zn,mp-568345,Fe,0.761412,0.761412,False,0.725552,0.725552,False,
Fe-Zn,mp-79,Zn,0.0,0.0,True,0.0,0.0,True,
Gd-Mn,mp-1055908,Mn,0.145445,0.145445,False,0.08316,0.08316,False,
Gd-Mn,mp-1057139,Mn,0.65752,0.65752,False,0.672051,0.672051,False,
Gd-Mn,mp-1076939,GdMn2,0.218314,0.218314,False,1.751798,1.751798,False,
Gd-Mn,mp-11421,Gd,0.0876,0.0876,False,0.069435,0.069435,False,
Gd-Mn,mp-1191484,Mn,0.806585,0.806585,False,0.862849,0.862849,False,
Gd-Mn,mp-1194710,Gd6Mn23,0.926403,0.926403,False,1.287263,1.287263,False,
Gd-Mn,mp-155,Gd,0.0,0.0,True,0.0,0.0,True,
Gd-Mn,mp-19981,Gd,0.030212,0.030212,False,6e-06,6e-06,True,GAINED
Gd-Mn,mp-2647025,Mn,0.052632,0.052632,False,0.046323,0.046323,False,
Gd-Mn,mp-35,Mn,0.0,0.0,True,0.0,0.0,True,
Gd-Mn,mp-542909,Mn,0.052947,0.052947,False,0.036828,0.036828,False,
Gd-Mn,mp-570087,Gd,0.020306,0.020306,False,8e-06,8e-06,True,GAINED
Gd-Mn,mp-614502,Gd,0.048381,0.048381,False,1.5e-05,1.5e-05,True,GAINED
Gd-Mn,mp-639892,GdMn12,0.021436,0.021436,False,0.528773,0.528773,False,
Gd-Mn,mp-8634,Mn,0.083098,0.083098,False,0.055075,0.055075,False,
Gd-Mn,mp-976591,GdMn3,1.913028,1.913028,False,1.7516,1.7516,False,
Gd-Ni,mp-1008728,Ni,0.09556,0.09556,False,0.088269,0.088269,False,
Gd-Ni,mp-1014111,Ni,0.620239,0.620239,False,0.586471,0.586471,False,
Gd-Ni,mp-10257,Ni,0.026142,0.026142,False,0.003315,0.003315,False,
Gd-Ni,mp-1094136,Ni,0.739852,0.739852,False,0.775805,0.775805,False,
Gd-Ni,mp-1101986,GdNi3,-0.383423,0.0,True,0.902378,0.902378,False,LOST
Gd-Ni,mp-11421,Gd,0.0876,0.0876,False,0.069435,0.069435,False,
Gd-Ni,mp-1246134,Ni,0.409911,0.409911,False,0.432487,0.432487,False,
Gd-Ni,mp-155,Gd,0.0,0.0,True,0.0,0.0,True,
Gd-Ni,mp-19981,Gd,0.030212,0.030212,False,6e-06,6e-06,True,GAINED
Gd-Ni,mp-21305,GdNi5,-0.310156,0.0,True,0.602685,0.602685,False,LOST
Gd-Ni,mp-23,Ni,0.0,0.0,True,0.0,0.0,True,
Gd-Ni,mp-542632,GdNi,-0.410239,0.0,True,0.450821,0.450821,False,LOST
Gd-Ni,mp-543019,GdNi2,-0.413901,0.0,True,1.207658,1.207658,False,LOST
Gd-Ni,mp-570087,Gd,0.020306,0.020306,False,8e-06,8e-06,True,GAINED
Gd-Ni,mp-580102,Gd2Ni17,0.40357,0.599458,False,0.405103,0.405103,False,
Gd-Ni,mp-614502,Gd,0.048381,0.048381,False,1.5e-05,1.5e-05,True,GAINED
Gd-Ni,mp-669713,Gd2Ni7,-0.369857,0.0,True,0.798866,0.798866,False,LOST
Gd-Zn,mp-1076988,GdZn2,-0.390932,0.0,True,0.955666,1.075214,False,LOST
